REGIJA,SPOL,LETO,DELOVNO.AKTIVNO.PREBIVALSTVO,PREBIVALSTVO
Zasavska,Skupaj,2007,18322,45229
Zasavska,Skupaj,2008,18746,45226
Zasavska,Skupaj,2009,17950,44750
Zasavska,Skupaj,2010,17307,44706
Zasavska,Skupaj,2011,16825,44222
Zasavska,Skupaj,2012,16443,43926
Zasavska,Skupaj,2013,15974,43502
Zasavska,Skupaj,2014,15679,42983
Zasavska,Skupaj,2015,22013,57711
Zasavska,Skupaj,2016,22246,57404
Zasavska,Skupaj,2017,23038,57280
Zasavska,Skupaj,2018,23774,57061
Zasavska,Skupaj,2019,24154,56962
Zasavska,Skupaj,2020,23861,57156
Zasavska,Moški,2005,NA,22146
Zasavska,Moški,2006,NA,22040
Zasavska,Moški,2007,NA,21979
Zasavska,Moški,2008,NA,22029
Zasavska,Moški,2009,NA,21813
Zasavska,Moški,2010,9438,21893
Zasavska,Moški,2011,9026,21637
Zasavska,Moški,2012,8796,21513
Zasavska,Moški,2013,8479,21340
Zasavska,Moški,2014,8328,21086
Zasavska,Moški,2015,11793,28385
Zasavska,Moški,2016,11845,28290
Zasavska,Moški,2017,12286,28277
Zasavska,Moški,2018,12676,28183
Zasavska,Moški,2019,12971,28220
Zasavska,Moški,2020,12811,28417
Zasavska,Ženske,2005,NA,23401
Zasavska,Ženske,2006,NA,23316
Zasavska,Ženske,2007,NA,23250
Zasavska,Ženske,2008,NA,23197
Zasavska,Ženske,2009,NA,22937
Zasavska,Ženske,2010,7869,22813
Zasavska,Ženske,2011,7799,22585
Zasavska,Ženske,2012,7647,22413
Zasavska,Ženske,2013,7495,22162
Zasavska,Ženske,2014,7351,21897
Zasavska,Ženske,2015,10220,29326
Zasavska,Ženske,2016,10401,29114
Zasavska,Ženske,2017,10752,29003
Zasavska,Ženske,2018,11098,28878
Zasavska,Ženske,2019,11183,28742
Zasavska,Ženske,2020,11050,28739
Posavska,Skupaj,2005,27416,69826
Posavska,Skupaj,2006,27773,69899
Posavska,Skupaj,2007,28851,70058
Posavska,Skupaj,2008,30036,70353
Posavska,Skupaj,2009,29527,69900
Posavska,Skupaj,2010,28565,70192
Posavska,Skupaj,2011,28272,70167
Posavska,Skupaj,2012,27830,70164
Posavska,Skupaj,2013,27423,70211
Posavska,Skupaj,2014,27316,69958
Posavska,Skupaj,2015,29662,75619
Posavska,Skupaj,2016,29828,75711
Posavska,Skupaj,2017,30928,75544
Posavska,Skupaj,2018,31895,75359
Posavska,Skupaj,2019,32663,75559
Posavska,Skupaj,2020,32147,75824
Posavska,Moški,2005,NA,34551
Posavska,Moški,2006,NA,34566
Posavska,Moški,2007,NA,34740
Posavska,Moški,2008,NA,35088
Posavska,Moški,2009,NA,35019
Posavska,Moški,2010,16794,35218
Posavska,Moški,2011,16470,35190
Posavska,Moški,2012,16271,35215
Posavska,Moški,2013,15892,35317
Posavska,Moški,2014,15990,35295
Posavska,Moški,2015,17234,38045
Posavska,Moški,2016,17121,38116
Posavska,Moški,2017,17752,37958
Posavska,Moški,2018,18263,37928
Posavska,Moški,2019,18764,38232
Posavska,Moški,2020,18261,38496
Posavska,Ženske,2005,NA,35275
Posavska,Ženske,2006,NA,35333
Posavska,Ženske,2007,NA,35318
Posavska,Ženske,2008,NA,35265
Posavska,Ženske,2009,NA,34881
Posavska,Ženske,2010,11770,34974
Posavska,Ženske,2011,11802,34977
Posavska,Ženske,2012,11559,34949
Posavska,Ženske,2013,11531,34894
Posavska,Ženske,2014,11325,34663
Posavska,Ženske,2015,12428,37574
Posavska,Ženske,2016,12707,37595
Posavska,Ženske,2017,13176,37586
Posavska,Ženske,2018,13632,37431
Posavska,Ženske,2019,13899,37327
Posavska,Ženske,2020,13886,37328
Jugovzhodna Slovenija,Skupaj,2005,58190,139095
Jugovzhodna Slovenija,Skupaj,2006,58787,139747
Jugovzhodna Slovenija,Skupaj,2007,61136,140258
Jugovzhodna Slovenija,Skupaj,2008,62882,141547
Jugovzhodna Slovenija,Skupaj,2009,61184,141166
Jugovzhodna Slovenija,Skupaj,2010,59813,142092
Jugovzhodna Slovenija,Skupaj,2011,58976,142483
Jugovzhodna Slovenija,Skupaj,2012,57671,142680
Jugovzhodna Slovenija,Skupaj,2013,56672,142509
Jugovzhodna Slovenija,Skupaj,2014,57094,142405
Jugovzhodna Slovenija,Skupaj,2015,57571,142373
Jugovzhodna Slovenija,Skupaj,2016,58415,142566
Jugovzhodna Slovenija,Skupaj,2017,61069,142711
Jugovzhodna Slovenija,Skupaj,2018,63352,142819
Jugovzhodna Slovenija,Skupaj,2019,64633,144032
Jugovzhodna Slovenija,Skupaj,2020,63933,145357
Jugovzhodna Slovenija,Moški,2005,NA,68844
Jugovzhodna Slovenija,Moški,2006,NA,69336
Jugovzhodna Slovenija,Moški,2007,NA,69641
Jugovzhodna Slovenija,Moški,2008,NA,70823
Jugovzhodna Slovenija,Moški,2009,NA,70931
Jugovzhodna Slovenija,Moški,2010,34428,71612
Jugovzhodna Slovenija,Moški,2011,33692,71780
Jugovzhodna Slovenija,Moški,2012,32787,71765
Jugovzhodna Slovenija,Moški,2013,32079,71641
Jugovzhodna Slovenija,Moški,2014,32701,71730
Jugovzhodna Slovenija,Moški,2015,32732,71737
Jugovzhodna Slovenija,Moški,2016,32916,71842
Jugovzhodna Slovenija,Moški,2017,34513,72044
Jugovzhodna Slovenija,Moški,2018,35797,72067
Jugovzhodna Slovenija,Moški,2019,36681,73148
Jugovzhodna Slovenija,Moški,2020,35956,74239
Jugovzhodna Slovenija,Ženske,2005,NA,70251
Jugovzhodna Slovenija,Ženske,2006,NA,70411
Jugovzhodna Slovenija,Ženske,2007,NA,70617
Jugovzhodna Slovenija,Ženske,2008,NA,70724
Jugovzhodna Slovenija,Ženske,2009,NA,70235
Jugovzhodna Slovenija,Ženske,2010,25385,70480
Jugovzhodna Slovenija,Ženske,2011,25284,70703
Jugovzhodna Slovenija,Ženske,2012,24884,70915
Jugovzhodna Slovenija,Ženske,2013,24593,70868
Jugovzhodna Slovenija,Ženske,2014,24393,70675
Jugovzhodna Slovenija,Ženske,2015,24839,70636
Jugovzhodna Slovenija,Ženske,2016,25499,70724
Jugovzhodna Slovenija,Ženske,2017,26556,70667
Jugovzhodna Slovenija,Ženske,2018,27556,70752
Jugovzhodna Slovenija,Ženske,2019,27952,70884
Jugovzhodna Slovenija,Ženske,2020,27977,71118
Primorsko-notranjska,Skupaj,2005,21781,51032
Primorsko-notranjska,Skupaj,2006,22202,51173
Primorsko-notranjska,Skupaj,2007,23104,51483
Primorsko-notranjska,Skupaj,2008,23750,52083
Primorsko-notranjska,Skupaj,2009,23261,51728
Primorsko-notranjska,Skupaj,2010,22603,52217
Primorsko-notranjska,Skupaj,2011,22207,52287
Primorsko-notranjska,Skupaj,2012,21803,52387
Primorsko-notranjska,Skupaj,2013,21209,52382
Primorsko-notranjska,Skupaj,2014,21367,52449
Primorsko-notranjska,Skupaj,2015,21507,52538
Primorsko-notranjska,Skupaj,2016,21757,52523
Primorsko-notranjska,Skupaj,2017,22241,52582
Primorsko-notranjska,Skupaj,2018,22965,52334
Primorsko-notranjska,Skupaj,2019,23439,52544
Primorsko-notranjska,Skupaj,2020,23424,52841
Primorsko-notranjska,Moški,2005,NA,25281
Primorsko-notranjska,Moški,2006,NA,25427
Primorsko-notranjska,Moški,2007,NA,25649
Primorsko-notranjska,Moški,2008,NA,26190
Primorsko-notranjska,Moški,2009,NA,26007
Primorsko-notranjska,Moški,2010,13051,26342
Primorsko-notranjska,Moški,2011,12733,26392
Primorsko-notranjska,Moški,2012,12467,26425
Primorsko-notranjska,Moški,2013,12071,26405
Primorsko-notranjska,Moški,2014,12272,26444
Primorsko-notranjska,Moški,2015,12281,26551
Primorsko-notranjska,Moški,2016,12317,26541
Primorsko-notranjska,Moški,2017,12617,26637
Primorsko-notranjska,Moški,2018,12984,26470
Primorsko-notranjska,Moški,2019,13292,26666
Primorsko-notranjska,Moški,2020,13346,26987
Primorsko-notranjska,Ženske,2005,NA,25751
Primorsko-notranjska,Ženske,2006,NA,25746
Primorsko-notranjska,Ženske,2007,NA,25834
Primorsko-notranjska,Ženske,2008,NA,25893
Primorsko-notranjska,Ženske,2009,NA,25721
Primorsko-notranjska,Ženske,2010,9552,25875
Primorsko-notranjska,Ženske,2011,9474,25895
Primorsko-notranjska,Ženske,2012,9336,25962
Primorsko-notranjska,Ženske,2013,9139,25977
Primorsko-notranjska,Ženske,2014,9095,26005
Primorsko-notranjska,Ženske,2015,9225,25987
Primorsko-notranjska,Ženske,2016,9440,25982
Primorsko-notranjska,Ženske,2017,9624,25945
Primorsko-notranjska,Ženske,2018,9981,25864
Primorsko-notranjska,Ženske,2019,10146,25878
Primorsko-notranjska,Ženske,2020,10078,25854
Osrednjeslovenska,Skupaj,2005,212311,496675
Osrednjeslovenska,Skupaj,2006,215370,500021
Osrednjeslovenska,Skupaj,2007,222510,503935
Osrednjeslovenska,Skupaj,2008,229342,508607
Osrednjeslovenska,Skupaj,2009,228095,521965
Osrednjeslovenska,Skupaj,2010,224742,529646
Osrednjeslovenska,Skupaj,2011,221471,533213
Osrednjeslovenska,Skupaj,2012,218775,536484
Osrednjeslovenska,Skupaj,2013,214996,541718
Osrednjeslovenska,Skupaj,2014,217145,546314
Osrednjeslovenska,Skupaj,2015,214873,534518
Osrednjeslovenska,Skupaj,2016,220847,537023
Osrednjeslovenska,Skupaj,2017,229350,539672
Osrednjeslovenska,Skupaj,2018,237923,542306
Osrednjeslovenska,Skupaj,2019,245555,549171
Osrednjeslovenska,Skupaj,2020,244217,555274
Osrednjeslovenska,Moški,2005,NA,240645
Osrednjeslovenska,Moški,2006,NA,242662
Osrednjeslovenska,Moški,2007,NA,245286
Osrednjeslovenska,Moški,2008,NA,248593
Osrednjeslovenska,Moški,2009,NA,254639
Osrednjeslovenska,Moški,2010,122181,259613
Osrednjeslovenska,Moški,2011,119036,260947
Osrednjeslovenska,Moški,2012,116790,262171
Osrednjeslovenska,Moški,2013,114170,264572
Osrednjeslovenska,Moški,2014,115597,266616
Osrednjeslovenska,Moški,2015,114181,260881
Osrednjeslovenska,Moški,2016,117068,262344
Osrednjeslovenska,Moški,2017,122240,264118
Osrednjeslovenska,Moški,2018,127352,265937
Osrednjeslovenska,Moški,2019,132224,270293
Osrednjeslovenska,Moški,2020,131651,274753
Osrednjeslovenska,Ženske,2005,NA,256030
Osrednjeslovenska,Ženske,2006,NA,257359
Osrednjeslovenska,Ženske,2007,NA,258649
Osrednjeslovenska,Ženske,2008,NA,260014
Osrednjeslovenska,Ženske,2009,NA,267326
Osrednjeslovenska,Ženske,2010,102561,270033
Osrednjeslovenska,Ženske,2011,102436,272266
Osrednjeslovenska,Ženske,2012,101985,274313
Osrednjeslovenska,Ženske,2013,100826,277146
Osrednjeslovenska,Ženske,2014,101548,279698
